Profundidad;Valor;Tipo;Pozo
5146;3;RT3_POR;LLANITO-121
5146;3;RT3_POR;LLANITO-121
5147;3;RT3_POR;LLANITO-121
5147;3;RT3_POR;LLANITO-121
5148;3;RT3_POR;LLANITO-121
5148;3;RT3_POR;LLANITO-121
5149;2;RT3_POR;LLANITO-121
5149;2;RT3_POR;LLANITO-121
5150;2;RT3_POR;LLANITO-121
5150;2;RT3_POR;LLANITO-121
5151;2;RT3_POR;LLANITO-121
5151;2;RT3_POR;LLANITO-121
5152;2;RT3_POR;LLANITO-121
5152;2;RT3_POR;LLANITO-121
5153;2;RT3_POR;LLANITO-121
5153;2;RT3_POR;LLANITO-121
5154;2;RT3_POR;LLANITO-121
5154;2;RT3_POR;LLANITO-121
5155;2;RT3_POR;LLANITO-121
5155;2;RT3_POR;LLANITO-121
5156;3;RT3_POR;LLANITO-121
5156;3;RT3_POR;LLANITO-121
5157;3;RT3_POR;LLANITO-121
5157;3;RT3_POR;LLANITO-121
5158;3;RT3_POR;LLANITO-121
5158;2;RT3_POR;LLANITO-121
5159;2;RT3_POR;LLANITO-121
5159;2;RT3_POR;LLANITO-121
5160;2;RT3_POR;LLANITO-121
5160;2;RT3_POR;LLANITO-121
5161;1;RT3_POR;LLANITO-121
5161;1;RT3_POR;LLANITO-121
5162;1;RT3_POR;LLANITO-121
5162;2;RT3_POR;LLANITO-121
5163;3;RT3_POR;LLANITO-121
5163;3;RT3_POR;LLANITO-121
5164;3;RT3_POR;LLANITO-121
5164;3;RT3_POR;LLANITO-121
5165;3;RT3_POR;LLANITO-121
5165;3;RT3_POR;LLANITO-121
5166;3;RT3_POR;LLANITO-121
5166;3;RT3_POR;LLANITO-121
5167;3;RT3_POR;LLANITO-121
5167;3;RT3_POR;LLANITO-121
5168;3;RT3_POR;LLANITO-121
5168;3;RT3_POR;LLANITO-121
5169;3;RT3_POR;LLANITO-121
5169;3;RT3_POR;LLANITO-121
5170;3;RT3_POR;LLANITO-121
5170;3;RT3_POR;LLANITO-121
5171;3;RT3_POR;LLANITO-121
5171;3;RT3_POR;LLANITO-121
5172;3;RT3_POR;LLANITO-121
5172;3;RT3_POR;LLANITO-121
5173;3;RT3_POR;LLANITO-121
5173;3;RT3_POR;LLANITO-121
5174;3;RT3_POR;LLANITO-121
5174;3;RT3_POR;LLANITO-121
5175;3;RT3_POR;LLANITO-121
5175;3;RT3_POR;LLANITO-121
5176;3;RT3_POR;LLANITO-121
5176;3;RT3_POR;LLANITO-121
5177;3;RT3_POR;LLANITO-121
5177;3;RT3_POR;LLANITO-121
5178;2;RT3_POR;LLANITO-121
5178;1;RT3_POR;LLANITO-121
5179;1;RT3_POR;LLANITO-121
5179;1;RT3_POR;LLANITO-121
5180;1;RT3_POR;LLANITO-121
5180;1;RT3_POR;LLANITO-121
5181;1;RT3_POR;LLANITO-121
5181;1;RT3_POR;LLANITO-121
5182;1;RT3_POR;LLANITO-121
5182;1;RT3_POR;LLANITO-121
5183;2;RT3_POR;LLANITO-121
5183;3;RT3_POR;LLANITO-121
5184;3;RT3_POR;LLANITO-121
5184;3;RT3_POR;LLANITO-121
5185;2;RT3_POR;LLANITO-121
5185;1;RT3_POR;LLANITO-121
5186;1;RT3_POR;LLANITO-121
5186;1;RT3_POR;LLANITO-121
5187;1;RT3_POR;LLANITO-121
5187;1;RT3_POR;LLANITO-121
5188;1;RT3_POR;LLANITO-121
5188;1;RT3_POR;LLANITO-121
5189;1;RT3_POR;LLANITO-121
5189;1;RT3_POR;LLANITO-121
5190;1;RT3_POR;LLANITO-121
5190;1;RT3_POR;LLANITO-121
5191;1;RT3_POR;LLANITO-121
5191;1;RT3_POR;LLANITO-121
5192;1;RT3_POR;LLANITO-121
5192;1;RT3_POR;LLANITO-121
5193;1;RT3_POR;LLANITO-121
5193;1;RT3_POR;LLANITO-121
5194;1;RT3_POR;LLANITO-121
5194;1;RT3_POR;LLANITO-121
5195;1;RT3_POR;LLANITO-121
5195;1;RT3_POR;LLANITO-121
5196;1;RT3_POR;LLANITO-121
5196;1;RT3_POR;LLANITO-121
5197;1;RT3_POR;LLANITO-121
5197;1;RT3_POR;LLANITO-121
5198;1;RT3_POR;LLANITO-121
5198;1;RT3_POR;LLANITO-121
5199;1;RT3_POR;LLANITO-121
5199;1;RT3_POR;LLANITO-121
5200;1;RT3_POR;LLANITO-121
5200;1;RT3_POR;LLANITO-121
5201;1;RT3_POR;LLANITO-121
5201;1;RT3_POR;LLANITO-121
5202;1;RT3_POR;LLANITO-121
5202;1;RT3_POR;LLANITO-121
5203;1;RT3_POR;LLANITO-121
5203;1;RT3_POR;LLANITO-121
5204;1;RT3_POR;LLANITO-121
5204;1;RT3_POR;LLANITO-121
5205;1;RT3_POR;LLANITO-121
5205;1;RT3_POR;LLANITO-121
5206;1;RT3_POR;LLANITO-121
5206;1;RT3_POR;LLANITO-121
5207;1;RT3_POR;LLANITO-121
5207;1;RT3_POR;LLANITO-121
5208;1;RT3_POR;LLANITO-121
5208;1;RT3_POR;LLANITO-121
5209;1;RT3_POR;LLANITO-121
5209;1;RT3_POR;LLANITO-121
5210;1;RT3_POR;LLANITO-121
5210;1;RT3_POR;LLANITO-121
5211;1;RT3_POR;LLANITO-121
5211;1;RT3_POR;LLANITO-121
5212;1;RT3_POR;LLANITO-121
5212;1;RT3_POR;LLANITO-121
5213;1;RT3_POR;LLANITO-121
5213;1;RT3_POR;LLANITO-121
5214;1;RT3_POR;LLANITO-121
5214;1;RT3_POR;LLANITO-121
5215;2;RT3_POR;LLANITO-121
5215;3;RT3_POR;LLANITO-121
5216;3;RT3_POR;LLANITO-121
5216;3;RT3_POR;LLANITO-121
5217;2;RT3_POR;LLANITO-121
5217;1;RT3_POR;LLANITO-121
5218;1;RT3_POR;LLANITO-121
5218;1;RT3_POR;LLANITO-121
5219;1;RT3_POR;LLANITO-121
5219;1;RT3_POR;LLANITO-121
5220;1;RT3_POR;LLANITO-121
5220;1;RT3_POR;LLANITO-121
5221;1;RT3_POR;LLANITO-121
5221;1;RT3_POR;LLANITO-121
5222;1;RT3_POR;LLANITO-121
5222;1;RT3_POR;LLANITO-121
5223;1;RT3_POR;LLANITO-121
5223;1;RT3_POR;LLANITO-121
5224;2;RT3_POR;LLANITO-121
5224;3;RT3_POR;LLANITO-121
5225;3;RT3_POR;LLANITO-121
5225;3;RT3_POR;LLANITO-121
5226;3;RT3_POR;LLANITO-121
5226;3;RT3_POR;LLANITO-121
5227;3;RT3_POR;LLANITO-121
5227;3;RT3_POR;LLANITO-121
5228;3;RT3_POR;LLANITO-121
5228;3;RT3_POR;LLANITO-121
5229;3;RT3_POR;LLANITO-121
5229;3;RT3_POR;LLANITO-121
5230;2;RT3_POR;LLANITO-121
5230;2;RT3_POR;LLANITO-121
5231;2;RT3_POR;LLANITO-121
5231;2;RT3_POR;LLANITO-121
5232;2;RT3_POR;LLANITO-121
5232;1;RT3_POR;LLANITO-121
5233;1;RT3_POR;LLANITO-121
5233;1;RT3_POR;LLANITO-121
5234;2;RT3_POR;LLANITO-121
5234;3;RT3_POR;LLANITO-121
5235;3;RT3_POR;LLANITO-121
5235;3;RT3_POR;LLANITO-121
5236;3;RT3_POR;LLANITO-121
5236;3;RT3_POR;LLANITO-121
5237;3;RT3_POR;LLANITO-121
5237;3;RT3_POR;LLANITO-121
5238;2;RT3_POR;LLANITO-121
5238;1;RT3_POR;LLANITO-121
5239;1;RT3_POR;LLANITO-121
5239;1;RT3_POR;LLANITO-121
5240;1;RT3_POR;LLANITO-121
5240;2;RT3_POR;LLANITO-121
5241;2;RT3_POR;LLANITO-121
5241;3;RT3_POR;LLANITO-121
5242;3;RT3_POR;LLANITO-121
5242;3;RT3_POR;LLANITO-121
5243;2;RT3_POR;LLANITO-121
5243;1;RT3_POR;LLANITO-121
5244;1;RT3_POR;LLANITO-121
5244;1;RT3_POR;LLANITO-121
5245;1;RT3_POR;LLANITO-121
5245;1;RT3_POR;LLANITO-121
5246;1;RT3_POR;LLANITO-121
5246;1;RT3_POR;LLANITO-121
5247;1;RT3_POR;LLANITO-121
5247;1;RT3_POR;LLANITO-121
5248;1;RT3_POR;LLANITO-121
5248;1;RT3_POR;LLANITO-121
5249;1;RT3_POR;LLANITO-121
5249;1;RT3_POR;LLANITO-121
5250;1;RT3_POR;LLANITO-121
5250;1;RT3_POR;LLANITO-121
5251;1;RT3_POR;LLANITO-121
5251;1;RT3_POR;LLANITO-121
5252;1;RT3_POR;LLANITO-121
5252;1;RT3_POR;LLANITO-121
5253;1;RT3_POR;LLANITO-121
5253;1;RT3_POR;LLANITO-121
5254;1;RT3_POR;LLANITO-121
5254;1;RT3_POR;LLANITO-121
5255;1;RT3_POR;LLANITO-121
5255;1;RT3_POR;LLANITO-121
5256;1;RT3_POR;LLANITO-121
5256;2;RT3_POR;LLANITO-121
5257;2;RT3_POR;LLANITO-121
5257;2;RT3_POR;LLANITO-121
5258;3;RT3_POR;LLANITO-121
5258;3;RT3_POR;LLANITO-121
5259;3;RT3_POR;LLANITO-121
5259;3;RT3_POR;LLANITO-121
5260;3;RT3_POR;LLANITO-121
5260;3;RT3_POR;LLANITO-121
5261;3;RT3_POR;LLANITO-121
5261;3;RT3_POR;LLANITO-121
5262;3;RT3_POR;LLANITO-121
5262;3;RT3_POR;LLANITO-121
5263;2;RT3_POR;LLANITO-121
5263;1;RT3_POR;LLANITO-121
5264;1;RT3_POR;LLANITO-121
5264;1;RT3_POR;LLANITO-121
5265;1;RT3_POR;LLANITO-121
5265;1;RT3_POR;LLANITO-121
5266;1;RT3_POR;LLANITO-121
5266;1;RT3_POR;LLANITO-121
5267;1;RT3_POR;LLANITO-121
5267;1;RT3_POR;LLANITO-121
5268;1;RT3_POR;LLANITO-121
5268;1;RT3_POR;LLANITO-121
5269;1;RT3_POR;LLANITO-121
5269;1;RT3_POR;LLANITO-121
5270;1;RT3_POR;LLANITO-121
5270;1;RT3_POR;LLANITO-121
5271;1;RT3_POR;LLANITO-121
5271;1;RT3_POR;LLANITO-121
5272;1;RT3_POR;LLANITO-121
5272;1;RT3_POR;LLANITO-121
5273;1;RT3_POR;LLANITO-121
5273;1;RT3_POR;LLANITO-121
5274;1;RT3_POR;LLANITO-121
5274;1;RT3_POR;LLANITO-121
5275;1;RT3_POR;LLANITO-121
5275;1;RT3_POR;LLANITO-121
5276;1;RT3_POR;LLANITO-121
5276;1;RT3_POR;LLANITO-121
5277;2;RT3_POR;LLANITO-121
5277;3;RT3_POR;LLANITO-121
5278;3;RT3_POR;LLANITO-121
5278;3;RT3_POR;LLANITO-121
5279;3;RT3_POR;LLANITO-121
5279;3;RT3_POR;LLANITO-121
5280;3;RT3_POR;LLANITO-121
5280;3;RT3_POR;LLANITO-121
5281;3;RT3_POR;LLANITO-121
5281;3;RT3_POR;LLANITO-121
5282;3;RT3_POR;LLANITO-121
5282;3;RT3_POR;LLANITO-121
5283;2;RT3_POR;LLANITO-121
5283;2;RT3_POR;LLANITO-121
5284;1;RT3_POR;LLANITO-121
5284;1;RT3_POR;LLANITO-121
5285;1;RT3_POR;LLANITO-121
5285;1;RT3_POR;LLANITO-121
5286;1;RT3_POR;LLANITO-121
5286;1;RT3_POR;LLANITO-121
5287;1;RT3_POR;LLANITO-121
5287;1;RT3_POR;LLANITO-121
5288;1;RT3_POR;LLANITO-121
5288;1;RT3_POR;LLANITO-121
5289;1;RT3_POR;LLANITO-121
5289;1;RT3_POR;LLANITO-121
5290;1;RT3_POR;LLANITO-121
5290;1;RT3_POR;LLANITO-121
5291;1;RT3_POR;LLANITO-121
5291;1;RT3_POR;LLANITO-121
5292;1;RT3_POR;LLANITO-121
5292;1;RT3_POR;LLANITO-121
5293;1;RT3_POR;LLANITO-121
5293;1;RT3_POR;LLANITO-121
5294;1;RT3_POR;LLANITO-121
5294;1;RT3_POR;LLANITO-121
5295;1;RT3_POR;LLANITO-121
5295;1;RT3_POR;LLANITO-121
5296;1;RT3_POR;LLANITO-121
5296;2;RT3_POR;LLANITO-121
5297;3;RT3_POR;LLANITO-121
5297;3;RT3_POR;LLANITO-121
5298;3;RT3_POR;LLANITO-121
5298;3;RT3_POR;LLANITO-121
5299;3;RT3_POR;LLANITO-121
5299;3;RT3_POR;LLANITO-121
5300;2;RT3_POR;LLANITO-121
5300;1;RT3_POR;LLANITO-121
5301;1;RT3_POR;LLANITO-121
5301;1;RT3_POR;LLANITO-121
5302;1;RT3_POR;LLANITO-121
5302;1;RT3_POR;LLANITO-121
5303;1;RT3_POR;LLANITO-121
5303;1;RT3_POR;LLANITO-121
5304;1;RT3_POR;LLANITO-121
5304;1;RT3_POR;LLANITO-121
5305;1;RT3_POR;LLANITO-121
5305;1;RT3_POR;LLANITO-121
5306;1;RT3_POR;LLANITO-121
5306;1;RT3_POR;LLANITO-121
5307;1;RT3_POR;LLANITO-121
5307;1;RT3_POR;LLANITO-121
5308;1;RT3_POR;LLANITO-121
5308;1;RT3_POR;LLANITO-121
5309;1;RT3_POR;LLANITO-121
5309;1;RT3_POR;LLANITO-121
5310;1;RT3_POR;LLANITO-121
5310;1;RT3_POR;LLANITO-121
5311;1;RT3_POR;LLANITO-121
5311;1;RT3_POR;LLANITO-121
5312;1;RT3_POR;LLANITO-121
5312;1;RT3_POR;LLANITO-121
5313;2;RT3_POR;LLANITO-121
5313;2;RT3_POR;LLANITO-121
5314;3;RT3_POR;LLANITO-121
5314;3;RT3_POR;LLANITO-121
5315;3;RT3_POR;LLANITO-121
5315;3;RT3_POR;LLANITO-121
5316;3;RT3_POR;LLANITO-121
5316;3;RT3_POR;LLANITO-121
5317;3;RT3_POR;LLANITO-121
5317;3;RT3_POR;LLANITO-121
5318;3;RT3_POR;LLANITO-121
5318;3;RT3_POR;LLANITO-121
5319;3;RT3_POR;LLANITO-121
5319;3;RT3_POR;LLANITO-121
5320;3;RT3_POR;LLANITO-121
5320;3;RT3_POR;LLANITO-121
5321;3;RT3_POR;LLANITO-121
5321;3;RT3_POR;LLANITO-121
5322;3;RT3_POR;LLANITO-121
5322;3;RT3_POR;LLANITO-121
5323;3;RT3_POR;LLANITO-121
5323;3;RT3_POR;LLANITO-121
5324;3;RT3_POR;LLANITO-121
5324;3;RT3_POR;LLANITO-121
5325;3;RT3_POR;LLANITO-121
5325;2;RT3_POR;LLANITO-121
5326;1;RT3_POR;LLANITO-121
5326;1;RT3_POR;LLANITO-121
5327;1;RT3_POR;LLANITO-121
5327;1;RT3_POR;LLANITO-121
5328;1;RT3_POR;LLANITO-121
5328;1;RT3_POR;LLANITO-121
5329;1;RT3_POR;LLANITO-121
5329;1;RT3_POR;LLANITO-121
5330;1;RT3_POR;LLANITO-121
5330;1;RT3_POR;LLANITO-121
5331;1;RT3_POR;LLANITO-121
5331;1;RT3_POR;LLANITO-121
5332;1;RT3_POR;LLANITO-121
5332;1;RT3_POR;LLANITO-121
5333;2;RT3_POR;LLANITO-121
5333;3;RT3_POR;LLANITO-121
5334;3;RT3_POR;LLANITO-121
5334;3;RT3_POR;LLANITO-121
5335;3;RT3_POR;LLANITO-121
5335;3;RT3_POR;LLANITO-121
5336;3;RT3_POR;LLANITO-121
5336;3;RT3_POR;LLANITO-121
5337;3;RT3_POR;LLANITO-121
5337;3;RT3_POR;LLANITO-121
5338;3;RT3_POR;LLANITO-121
5338;3;RT3_POR;LLANITO-121
5339;3;RT3_POR;LLANITO-121
5339;3;RT3_POR;LLANITO-121
5340;3;RT3_POR;LLANITO-121
5340;3;RT3_POR;LLANITO-121
5341;3;RT3_POR;LLANITO-121
5341;3;RT3_POR;LLANITO-121
5342;3;RT3_POR;LLANITO-121
5342;3;RT3_POR;LLANITO-121
5343;3;RT3_POR;LLANITO-121
5343;3;RT3_POR;LLANITO-121
5344;3;RT3_POR;LLANITO-121
5344;3;RT3_POR;LLANITO-121
5345;3;RT3_POR;LLANITO-121
5345;3;RT3_POR;LLANITO-121
5346;3;RT3_POR;LLANITO-121
5346;3;RT3_POR;LLANITO-121
5347;3;RT3_POR;LLANITO-121
5347;3;RT3_POR;LLANITO-121
5348;3;RT3_POR;LLANITO-121
