Depth;Value;Metodo
351.0;-0.005175612;BPF
351.5;-0.005388679;BPF
352.0;-0.0055907518;BPF
352.5;-0.0057828156;BPF
353.0;-0.005962508;BPF
353.5;-0.0061312336;BPF
354.0;-0.006286979;BPF
354.5;-0.0064304876;BPF
355.0;-0.006560926;BPF
355.5;-0.006677779;BPF
356.0;-0.006781586;BPF
356.5;-0.0068705236;BPF
357.0;-0.0069463197;BPF
357.5;-0.0070062373;BPF
358.0;-0.007052604;BPF
358.5;-0.007083406;BPF
359.0;-0.0070995013;BPF
359.5;-0.0071003516;BPF
360.0;-0.007085867;BPF
360.5;-0.0070564845;BPF
361.0;-0.007011187;BPF
361.5;-0.0069513777;BPF
362.0;-0.0068752337;BPF
362.5;-0.0067846905;BPF
363.0;-0.0066785123;BPF
363.5;-0.006557799;BPF
364.0;-0.0064221374;BPF
364.5;-0.006271893;BPF
365.0;-0.0061074956;BPF
365.5;-0.005928736;BPF
366.0;-0.0057365997;BPF
366.5;-0.0055304654;BPF
367.0;-0.005311727;BPF
367.5;-0.0050798994;BPF
368.0;-0.0048361234;BPF
368.5;-0.004580393;BPF
369.0;-0.004313426;BPF
369.5;-0.004035631;BPF
370.0;-0.0037474907;BPF
370.5;-0.003449666;BPF
371.0;-0.0031425345;BPF
371.5;-0.0028269466;BPF
372.0;-0.0025032617;BPF
372.5;-0.002172435;BPF
373.0;-0.0018349098;BPF
373.5;-0.0014915039;BPF
374.0;-0.001142775;BPF
374.5;-7.8959734E-4;BPF
375.0;-4.3253202E-4;BPF
375.5;-7.234873E-5;BPF
376.0;2.9011242E-4;BPF
376.5;6.541557E-4;BPF
377.0;0.0010189567;BPF
377.5;0.001383803;BPF
378.0;0.0017479148;BPF
378.5;0.0021105078;BPF
379.0;0.0024708728;BPF
379.5;0.0028279594;BPF
380.0;0.0031813509;BPF
380.5;0.0035299233;BPF
381.0;0.0038732304;BPF
381.5;0.0042102435;BPF
382.0;0.0045403545;BPF
382.5;0.0048629562;BPF
383.0;0.0051769125;BPF
383.5;0.0054821717;BPF
384.0;0.0057769823;BPF
384.5;0.006061902;BPF
385.0;0.0063350997;BPF
385.5;0.0065968647;BPF
386.0;0.0068459967;BPF
386.5;0.007082151;BPF
387.0;0.007304894;BPF
387.5;0.0075129853;BPF
388.0;0.0077072293;BPF
388.5;0.007885067;BPF
389.0;0.008048535;BPF
389.5;0.008194695;BPF
390.0;0.008325235;BPF
390.5;0.008438446;BPF
391.0;0.008534591;BPF
391.5;0.008613531;BPF
392.0;0.008673983;BPF
392.5;0.008717372;BPF
393.0;0.00874103;BPF
393.5;0.008747937;BPF
394.0;0.00873469;BPF
394.5;0.008704205;BPF
395.0;0.00865437;BPF
395.5;0.008586356;BPF
396.0;0.008499779;BPF
396.5;0.008394376;BPF
397.0;0.008271378;BPF
397.5;0.008129156;BPF
398.0;0.007970111;BPF
398.5;0.00779201;BPF
399.0;0.0075974027;BPF
399.5;0.0073850635;BPF
400.0;0.0071562207;BPF
400.5;0.0069109225;BPF
401.0;0.0066495915;BPF
401.5;0.00637301;BPF
402.0;0.0060809315;BPF
402.5;0.00577495;BPF
403.0;0.0054543116;BPF
403.5;0.0051209573;BPF
404.0;0.004774624;BPF
404.5;0.0044165207;BPF
405.0;0.0040469463;BPF
405.5;0.0036668454;BPF
406.0;0.0032769935;BPF
406.5;0.002877902;BPF
407.0;0.0024707315;BPF
407.5;0.0020558068;BPF
408.0;0.0016345641;BPF
408.5;0.0012074597;BPF
409.0;7.754939E-4;BPF
409.5;3.3962162E-4;BPF
410.0;-9.927578E-5;BPF
410.5;-5.404208E-4;BPF
411.0;-9.828283E-4;BPF
411.5;-0.0014254289;BPF
412.0;-0.0018674337;BPF
412.5;-0.002307782;BPF
413.0;-0.0027455476;BPF
413.5;-0.0031799118;BPF
414.0;-0.003609748;BPF
414.5;-0.00403427;BPF
415.0;-0.0044523464;BPF
415.5;-0.004863403;BPF
416.0;-0.005265989;BPF
416.5;-0.0056597055;BPF
417.0;-0.006043336;BPF
417.5;-0.0064162165;BPF
418.0;-0.006777403;BPF
418.5;-0.007125916;BPF
419.0;-0.007461435;BPF
419.5;-0.0077822814;BPF
420.0;-0.008089009;BPF
420.5;-0.008379167;BPF
421.0;-0.00865361;BPF
421.5;-0.008910489;BPF
422.0;-0.009149966;BPF
422.5;-0.009371161;BPF
423.0;-0.009573261;BPF
423.5;-0.009756446;BPF
424.0;-0.009919029;BPF
424.5;-0.01006236;BPF
425.0;-0.010183269;BPF
425.5;-0.01028441;BPF
426.0;-0.010362802;BPF
426.5;-0.010420248;BPF
427.0;-0.010455239;BPF
427.5;-0.010467919;BPF
428.0;-0.010458704;BPF
428.5;-0.010425948;BPF
429.0;-0.010372187;BPF
429.5;-0.010293639;BPF
430.0;-0.01019453;BPF
430.5;-0.010070959;BPF
431.0;-0.009926103;BPF
431.5;-0.009758492;BPF
432.0;-0.009568978;BPF
432.5;-0.009358159;BPF
433.0;-0.009125187;BPF
433.5;-0.008872476;BPF
434.0;-0.008597439;BPF
434.5;-0.008303763;BPF
435.0;-0.007989241;BPF
435.5;-0.007656518;BPF
436.0;-0.00730483;BPF
436.5;-0.006935502;BPF
437.0;-0.006549223;BPF
437.5;-0.0061459965;BPF
438.0;-0.0057278154;BPF
438.5;-0.00529396;BPF
439.0;-0.0048467587;BPF
439.5;-0.0043857205;BPF
440.0;-0.003912941;BPF
440.5;-0.0034285078;BPF
441.0;-0.0029338826;BPF
441.5;-0.0024299189;BPF
442.0;-0.0019175214;BPF
442.5;-0.0013979436;BPF
443.0;-8.719063E-4;BPF
443.5;-3.4092984E-4;BPF
444.0;1.9424707E-4;BPF
444.5;7.323195E-4;BPF
445.0;0.001272269;BPF
445.5;0.0018127903;BPF
446.0;0.0023528447;BPF
446.5;0.0028913107;BPF
447.0;0.0034269101;BPF
447.5;0.003958602;BPF
448.0;0.0044851745;BPF
448.5;0.0050054137;BPF
449.0;0.0055182953;BPF
449.5;0.0060225176;BPF
450.0;0.0065171923;BPF
450.5;0.007000918;BPF
451.0;0.0074729724;BPF
451.5;0.007931809;BPF
452.0;0.008376873;BPF
452.5;0.008806518;BPF
453.0;0.009220166;BPF
453.5;0.009616795;BPF
454.0;0.009995323;BPF
454.5;0.010355113;BPF
455.0;0.010694754;BPF
455.5;0.011014212;BPF
456.0;0.0113115;BPF
456.5;0.011587457;BPF
457.0;0.011839355;BPF
457.5;0.012068203;BPF
458.0;0.012272328;BPF
458.5;0.012451771;BPF
459.0;0.01260596;BPF
459.5;0.012733824;BPF
460.0;0.012836142;BPF
460.5;0.012910558;BPF
461.0;0.012959527;BPF
461.5;0.012979147;BPF
462.0;0.012972603;BPF
462.5;0.012937382;BPF
463.0;0.012874936;BPF
463.5;0.0127845425;BPF
464.0;0.012665939;BPF
464.5;0.012520478;BPF
465.0;0.012345885;BPF
465.5;0.012145997;BPF
466.0;0.011916233;BPF
466.5;0.011661706;BPF
467.0;0.011379116;BPF
467.5;0.011071421;BPF
468.0;0.010737868;BPF
468.5;0.010378953;BPF
469.0;0.009996246;BPF
469.5;0.009588371;BPF
470.0;0.009159323;BPF
470.5;0.008705615;BPF
471.0;0.008232267;BPF
471.5;0.0077371327;BPF
472.0;0.007223127;BPF
472.5;0.0066900514;BPF
473.0;0.0061393576;BPF
473.5;0.005572355;BPF
474.0;0.0049891877;BPF
474.5;0.004392554;BPF
475.0;0.003781666;BPF
475.5;0.0031596604;BPF
476.0;0.0025262723;BPF
476.5;0.0018838373;BPF
477.0;0.00123318;BPF
477.5;5.756848E-4;BPF
478.0;-8.710917E-5;BPF
478.5;-7.540497E-4;BPF
479.0;-0.0014236168;BPF
479.5;-0.0020944613;BPF
480.0;-0.0027650858;BPF
480.5;-0.0034340408;BPF
481.0;-0.00410005;BPF
481.5;-0.004761461;BPF
482.0;-0.005416915;BPF
482.5;-0.0060649654;BPF
483.0;-0.0067042382;BPF
483.5;-0.0073333094;BPF
484.0;-0.007950453;BPF
484.5;-0.00855473;BPF
485.0;-0.009144306;BPF
485.5;-0.009718311;BPF
486.0;-0.010274923;BPF
486.5;-0.010813326;BPF
487.0;-0.011331775;BPF
487.5;-0.01182951;BPF
488.0;-0.0123047745;BPF
488.5;-0.012756727;BPF
489.0;-0.013184118;BPF
489.5;-0.013585792;BPF
490.0;-0.013961018;BPF
490.5;-0.01430832;BPF
491.0;-0.014627564;BPF
491.5;-0.014916886;BPF
492.0;-0.015176656;BPF
492.5;-0.0154044805;BPF
493.0;-0.0156012755;BPF
493.5;-0.015764963;BPF
494.0;-0.015896073;BPF
494.5;-0.015993552;BPF
495.0;-0.016056955;BPF
495.5;-0.016086524;BPF
496.0;-0.016080737;BPF
496.5;-0.016041314;BPF
497.0;-0.015965277;BPF
497.5;-0.015855659;BPF
498.0;-0.015709274;BPF
498.5;-0.015528838;BPF
499.0;-0.015312917;BPF
499.5;-0.015062403;BPF
500.0;-0.014777857;BPF
500.5;-0.014458354;BPF
501.0;-0.014106542;BPF
501.5;-0.013719654;BPF
502.0;-0.013302273;BPF
502.5;-0.012850758;BPF
503.0;-0.012369663;BPF
503.5;-0.011857097;BPF
504.0;-0.011315556;BPF
504.5;-0.010745524;BPF
505.0;-0.01014721;BPF
505.5;-0.009523697;BPF
506.0;-0.008872999;BPF
506.5;-0.008200245;BPF
507.0;-0.0075022606;BPF
507.5;-0.006784101;BPF
508.0;-0.0060447585;BPF
508.5;-0.0052871965;BPF
509.0;-0.004512319;BPF
509.5;-0.0037213895;BPF
510.0;-0.0029168832;BPF
510.5;-0.0020991198;BPF
511.0;-0.0012712206;BPF
511.5;-4.3326226E-4;BPF
512.0;4.1155104E-4;BPF
512.5;0.0012623252;BPF
513.0;0.0021169814;BPF
513.5;0.002973782;BPF
514.0;0.0038309048;BPF
514.5;0.0046864934;BPF
515.0;0.0055386717;BPF
515.5;0.006385792;BPF
516.0;0.0072254553;BPF
516.5;0.008056545;BPF
517.0;0.008876477;BPF
517.5;0.009684053;BPF
518.0;0.010476939;BPF
518.5;0.011253631;BPF
519.0;0.012012363;BPF
519.5;0.012750959;BPF
520.0;0.013468408;BPF
520.5;0.014161506;BPF
521.0;0.014830438;BPF
521.5;0.015472067;BPF
522.0;0.01608599;BPF
522.5;0.016669719;BPF
523.0;0.017222451;BPF
523.5;0.017742272;BPF
524.0;0.018228155;BPF
524.5;0.018678473;BPF
525.0;0.01909141;BPF
