POZO;DELTA;DELTA ABSOLUTO;CURVA_REGISTRO;CURVA_INVERSION;CORRELACION;INTERVALO_FT;SIGNO_ESPERADO;CONSISTENCIA;LISTA
LLANITO-108;3.76;3.76;PERM;VPVS_SH-60;-0.23;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;POR;VPVS_SH-60;-0.254;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;PERM;IP_SH-60;0.625;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;POR;VPVS_SH-60;0.368;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;GR;IP_SH-60;0.151;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;VSH;IP_SH-60;0.136;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;VSH;VPVS_SH-60;0.059;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;POR;IP_SH-60;-0.154;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;PERM;VPVS_SH-60;-0.214;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;GR;VPVS_SH-60;-0.221;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;GR;IP_SH-60;0.315;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;VSH;IP_SH-60;0.24;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;GR;VPVS_SH-60;0.104;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;VSH;VPVS_SH-60;0.014;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;POR;VPVS_SH-60;-0.017;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;PERM;IP_SH-60;-0.21;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;PERM;VPVS_SH-60;-0.214;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
