POZO;DELTA;DELTA ABSOLUTO;CURVA_REGISTRO;CURVA_INVERSION;CORRELACION;INTERVALO_FT;SIGNO_ESPERADO;CONSISTENCIA;LISTA
LLANITO-108;3.76;3.76;VSH;IP_SH60;0.323;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;PERM;IP_SH60;-0.216;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;POR;IP_SH60;-0.256;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;PERM;VPVS_SH60;-0.28;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;POR;VPVS_SH60;-0.607;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;GR;IP_SH60;0.355;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;PERM;IP_SH60;0.08;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;VSH;IP_SH60;0.078;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;POR;IP_SH60;0.015;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;PERM;VPVS_SH60;-0.074;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;POR;VPVS_SH60;-0.157;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;GR;VPVS_SH60;-0.406;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-84;-4.71;4.71;VSH;VPVS_SH60;-0.509;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;PERM;VPVS_SH60;0.318;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;PERM;IP_SH60;0.127;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;POR;VPVS_SH60;0.125;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;VSH;IP_SH60;0.107;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;GR;IP_SH60;0.049;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;POR;IP_SH60;-0.099;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;VSH;VPVS_SH60;-0.122;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-71;-5.73;5.73;GR;VPVS_SH60;-0.201;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-110;6.14;6.14;VSH;VPVS_SH60;0.435;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
